Title,Awards,Nominations
Murder on the Orient Express,1974,1
Earthquake,1974,1 (1)
Alice Doesn't Live Here Anymore,1974,1
Amarcord,1974,1
Harry and Tonto,1974,1
Closed Mondays,1974,1
Don't,1974,1
Hearts and Minds,1974,1
"One-Eyed Men Are Kings (...borgnes sont rois, Les)",1974,1
The Sting,1973,7
The Exorcist,1973,2
The Way We Were,1973,2
Cries and Whispers (Viskningar och rop),1973,1
A Touch of Class,1973,1
Day for Night (La Nuit américaine),1973,1
Paper Moon,1973,1
The Paper Chase,1973,1
Save the Tiger,1973,1
The Bolero,1973,1
Frank Film,1973,1
The Great American Cowboy,1973,1
Princeton: A Search for Answers,1973,1
The Godfather,1972,3
Cabaret,1972,8
The Poseidon Adventure,1972,1 (1)
Travels with My Aunt,1972,1
Butterflies Are Free,1972,1
The Candidate,1972,1
The Discreet Charm of the Bourgeoisie (Le charme discret de la bourgeoisie),1972,1
A Christmas Carol,1972,1
Limelight,1972,1
Marjoe,1972,1
Norman Rockwell's World... An American Dream,1972,1
This Tiny World,1972,1
The French Connection,1971,5
Fiddler on the Roof,1971,3
The Last Picture Show,1971,2
Nicholas and Alexandra,1971,2
Sentinels of Silence,1971,2
Bedknobs and Broomsticks,1971,1
Summer of '42,1971,1
The Garden of the Finzi-Continis (Il Giardino dei Finzi-Contini),1971,1
The Hospital,1971,1
Klute,1971,1
Shaft,1971,1
The Crunch Bird,1971,1
The Hellstrom Chronicle,1971,1
Patton,1970,7
Ryan's Daughter,1970,2
Airport,1970,1
Love Story,1970,1
M*A*S*H,1970,1
Tora! Tora! Tora!,1970,1
Women in Love,1970,1
Lovers and Other Strangers,1970,1
Woodstock,1970,1
Cromwell,1970,1
Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto),1970,1
Interviews with My Lai Veterans,1970,1
Is It Always Right to Be Right?,1970,1
Let It Be,1970,1
The Resurrection of Broncho Billy,1970,1
Midnight Cowboy,1969,3
Butch Cassidy and the Sundance Kid,1969,4
"Hello, Dolly!",1969,3
Z,1969,2
Anne of the Thousand Days,1969,1
"They Shoot Horses, Don't They?",1969,1
Marooned,1969,1
The Magic Machines,1969,1
The Prime of Miss Jean Brodie,1969,1
True Grit,1969,1
Arthur Rubinstein – The Love of Life (L'amour de la vie - Artur Rubinstein),1969,1
Cactus Flower,1969,1
Czechoslovakia 1968,1969,1
It's Tough to Be a Bird,1969,1
Oliver!,1968,5 (1)
The Lion in Winter,1968,3
Romeo and Juliet,1968,2
Funny Girl,1968,1
2001: A Space Odyssey,1968,1
Bullitt,1968,1
The Producers,1967,1
Rosemary's Baby,1968,1
The Subject Was Roses,1968,1
The Thomas Crown Affair,1968,1
War and Peace (Voyna i mir),1968,1
Charly,1968,1
Journey into Self,1968,1
Robert Kennedy Remembered,1968,1
Why Man Creates,1968,1
Winnie the Pooh and the Blustery Day,1968,1
Planet of the Apes,1968,0 (1)
In the Heat of the Night,1967,5
Camelot,1967,3
Bonnie and Clyde,1967,2
Guess Who's Coming to Dinner,1967,2
Doctor Dolittle,1967,2
The Graduate,1967,1
Thoroughly Modern Millie,1967,1
Cool Hand Luke,1967,1
The Dirty Dozen,1967,1
A Place to Stand,1967,1
The Anderson Platoon (La Section Anderson),1967,1
The Box,1967,1
Closely Watched Trains (Ostre sledované vlaky),1967,1
The Redwoods,1967,1
A Man for All Seasons,1966,6
Who's Afraid of Virginia Woolf?,1966,5
Grand Prix,1966,3
Fantastic Voyage,1966,2
A Man and a Woman,1966,2
Born Free,1966,2
The Fortune Cookie,1966,1
A Funny Thing Happened on the Way to the Forum,1966,1
A Herb Alpert and the Tijuana Brass Double Feature,1966,1
The War Game,1966,1
Wild Wings,1966,1
A Year Toward Tomorrow,1966,1
The Sound of Music,1965,5
Doctor Zhivago,1965,5
Darling,1965,3
Ship of Fools,1965,2
Cat Ballou,1965,1
The Great Race,1965,1
A Patch of Blue,1965,1
A Thousand Clowns,1965,1
The Shop on Main Street (Obchod na korze),1965,1
The Sandpiper,1965,1
The Eleanor Roosevelt Story,1965,1
To Be Alive!,1965,1
7 Faces of Dr. Lao,1964,0 (1)
7th Heaven,1927/28,3
"20,000 Leagues Under the Sea",1954,2
Adventures of Don Juan,1949,1
The Adventures of Robin Hood,1938,3
The African Queen,1951,1
Air Force,1943,1
The Alamo,1960,1
The Alaskan Eskimo,1953,1
Albert Schweitzer,1957,1
Alexander's Ragtime Band,1938,1
All About Eve,1950,6
All Quiet on the Western Front,1929/30,2
All That Money Can Buy,1941,1
All the King's Men,1949,3
Ama Girls,1958,1
America America,1963,1
An American in Paris,1951,6
Amphibious Fighters,1943,1
Anastasia,1956,1
Anchors Aweigh,1945,1
Anna and the King of Siam,1946,2
Annie Get Your Gun,1950,1
Anthony Adverse,1936,4
The Apartment,1960,5
Aquatic House Party,1949,1
"Arise, My Love",1940,1
Around the World in 80 Days,1956,5
The Awful Truth,1937,1
The Bachelor and the Bobby-Soxer,1947,1
The Bad and the Beautiful,1952,5
Bad Girl,1931/32,2
The Barefoot Contessa,1954,1
The Battle of Midway,1942,1
Battleground,1949,2
Bear Country,1953,1
Becket,1964,1
The Bells of St. Mary's,1945,1
Ben-Hur,1959,11
Benjy,1951,1
The Bespoke Overcoat,1956,1
The Best Years of Our Lives,1946,7 (1)
Beyond the Line of Duty,1942,1
Bicycle Thieves,1949,0 (1)
The Big Broadcast of 1938,1938,1
The Big Country,1958,1
The Big House,1929/30,2
Bill and Coo,1948,0 (1)
Birds Anonymous,1957,1
The Bishop's Wife,1947,1
Black Fox: The Rise and Fall of Adolf Hitler (The Black Fox),1962,1
Black Narcissus,1947,2
Black Orpheus (Orfeu Negro),1959,1
The Black Swan,1942,1
Blithe Spirit,1946,1
Blood and Sand,1941,1
Blood on the Sun,1945,1
Blossoms in the Dust,1941,1
Body and Soul,1947,1
Bored of Education,1936,1
Born Yesterday,1950,1
A Boy and His Dog,1946,1
Boys Town,1938,2
The Brave One,1956,1
Breakfast at Tiffany's,1961,2
Breaking the Sound Barrier,1952,1
The Bridge of San Luis Rey,1928/29,1
The Bridge on the River Kwai,1957,7
The Bridges at Toko-Ri,1955,1
Broadway Melody of 1936,1935,1
The Broadway Melody,1928/29,1
Broken Lance,1954,1
Busy Little Bears,1939,1
BUtterfield 8,1960,1
Calamity Jane,1953,1
Call Me Madam,1953,1
"Captain Carey, U.S.A.",1950,1
Captains Courageous,1937,1
Casablanca,1943,3
Casals Conducts: 1964,1964,1
The Cat Concerto,1946,1
Cavalcade,1932/33,3
Chagall,1963,1
The Champ,1931/32,2
Champion,1949,1
A Chance to Live,1949,1
The Charge of the Light Brigade,1936,1
The Chicken (Le Poulet),1965,1
Churchill's Island,1941,1
Cimarron,1930/31,3
The Circus,1927/28,0 (1)
Citizen Kane,1941,1
City of Wax,1934,1
Cleopatra,1934,1
Cleopatra,1963,4
Climbing the Matterhorn,1947,1
Come and Get It,1936,1
"Come Back, Little Sheba",1952,1
Coquette,1928/29,1
The Country Cousin,1936,1
The Country Girl,1954,2
Cover Girl,1944,1
The Cowboy and the Lady,1938,1
Crash Dive,1943,1
Crashing the Water Barrier,1956,1
The Critic,1963,1
La Cucaracha,1934,1
Cyrano de Bergerac,1950,1
A Damsel in Distress,1937,1
Dangerous,1935,1
The Dark Angel,1935,1
The Dawn Patrol,1930/31,1
Day of the Painter,1960,1
Daybreak in Udi,1949,1
Days of Wine and Roses,1962,1
December 7th,1943,1
Declaration of Independence,1938,1
The Defiant Ones,1958,2
Der Fuehrer's Face,1942,1
Desert Victory,1943,1
Design for Death,1947,1
Designing Woman,1957,1
Destination Moon,1950,1
The Diary of Anne Frank,1959,3
Disraeli,1929/30,1
The Divine Lady,1928/29,1
Divorce Italian Style,1962,1
The Divorcee,1929/30,1
Dodsworth,1936,1
The Dot and the Line (The Dot and the Line: A Romance in Lower Mathematics),1965,1
A Double Life,1947,2
The Dove,1927/28,1
Dr. Jekyll and Mr. Hyde,1931/32,1
Dumbo,1941,1
Dylan Thomas,1962,1
East of Eden,1955,1
Easter Parade,1948,1
Elmer Gantry,1960,3
The Enemy Below,1957,1
Eskimo,1934,1
Exodus,1960,1
The Face of Lincoln,1955,1
Facing Your Danger,1946,1
The Facts of Life,1960,1
Fantasia,1940,0 (2)
A Farewell to Arms,1932/33,2
The Farmer's Daughter,1947,1
Father Goose,1964,1
Federico Fellini's 8½,1963,2
Ferdinand the Bull,1938,1
The Fighting Lady,1944,1
First Steps,1947,1
Flowers and Trees,1931/32,1
Folies Bergere,1935,1
For Scent-imental Reasons,1949,1
For Whom the Bell Tolls,1943,1
Forbidden Games,1952,0 (1)
A Force in Readiness,1961,0 (1)
A Free Soul,1930/31,1
Frenchman's Creek,1945,1
From Here to Eternity,1953,8
The Garden of Allah,1936,0 (1)
Gaslight,1944,2
Gate of Hell (Jigokumon),1954,1 (1)
The Gay Divorcee,1934,1
Gentleman's Agreement,1947,3
Gerald McBoing-Boing,1950,1
Giant,1956,1
Gigi,1958,9
Giuseppina,1960,1
Give Me Liberty,1936,1
Glass (Glas),1959,1
The Glenn Miller Story,1954,1
Going My Way,1944,7
Gold Diggers of 1935,1935,1
The Golden Fish (Histoire d'un poisson rouge),1959,1
Goldfinger,1964,1
Gone with the Wind,1939,8 (2)
The Good Earth,1937,2
"Goodbye, Miss Turlock",1947,1
"Goodbye, Mr. Chips",1939,1
Grand Canyon,1958,1
Grand Hotel,1931/32,1
Grandad of Races,1950,1
The Grapes of Wrath,1940,2
The Great Caruso,1951,1
Great Expectations,1947,2
The Great Lie,1941,1
The Great McGinty,1940,1
The Great Waltz,1938,1
The Great Ziegfeld,1936,3
The Greatest Show on Earth,1952,2
Green Dolphin Street,1947,1
The Guns of Navarone,1961,1
Hamlet,1948,4
Happy Anniversary (Heureux Anniversaire),1962,1
Harvey,1950,1
The Harvey Girls,1946,1
Heavenly Music,1943,1
The Heiress,1949,4
Helen Keller in Her Story (The Unconquered),1955,1
"Hello, Frisco, Hello",1943,1
Henry V,1946,0 (1)
Here Comes Mr. Jordan,1941,2
Here Comes the Groom,1951,1
The High and the Mighty,1954,1
High Noon,1952,4
Hitler Lives,1945,1
A Hole in the Head,1959,1
The Hole,1962,1
Holiday Inn,1942,1
The Horse with the Flying Tail,1960,1
The House I Live In,1945,0 (1)
The House on 92nd Street,1945,1
How Green Was My Valley,1941,5
How the West Was Won,1963,3
How to Sleep,1935,1
Hud,1963,3
The Human Comedy,1943,1
The Hurricane,1937,1
The Hustler,1961,2
I Want to Live!,1958,1
I Wanted Wings,1941,1
I Won't Play,1944,1
I'll Cry Tomorrow,1955,1
In Beaver Valley,1950,1
In Old Arizona,1928/29,1
In Old Chicago,1937,2
In Which We Serve,1942,0 (1)
The Informer,1935,4
Interrupted Melody,1955,1
The Invaders,1942,1
Irma la Douce,1963,1
It Happened One Night,1934,5
"It's a Mad, Mad, Mad, Mad World",1963,1
The Jazz Singer,1927/28,0 (1)
Jezebel,1938,2
Joan of Arc,1948,2 (1)
Johann Mouse,1952,1
Johnny Belinda,1948,1
Johnny Eager,1942,1
The Joker Is Wild,1957,1
The Jolson Story,1946,2
Judgment at Nuremberg,1961,2
Julius Caesar,1953,1
Kentucky,1938,1
Key Largo,1948,1
The King and I,1956,5
King of Jazz,1929/30,1
King Solomon's Mines,1950,2
Kitty Foyle (Kitty Foyle: The Natural History of a Woman),1940,1
Knighty Knight Bugs,1958,1
Kokoda Front Line!,1942,1
Kon-Tiki,1950,1
Krakatoa,1932/33,1
Kukan,1941,0 (1)
La Strada (The Road),1956,1
La Dolce Vita,1961,1
Lady Be Good,1941,1
The Last Command,1927/28,1
Laura,1944,1
The Lavender Hill Mob,1952,1
Lawrence of Arabia,1962,7
Leave Her to Heaven,1945,1
Lend a Paw,1941,1
Les Girls,1957,1
A Letter to Three Wives,1949,2
The Life of Emile Zola,1937,3
Light in the Window,1952,1
Lili,1953,1
Lilies of the Field,1963,1
The Little Kidnappers (The Kidnappers),1954,0 (2)
The Little Orphan,1948,1
Little Women,1932/33,1
Little Women,1949,1
The Lives of a Bengal Lancer,1935,1
The Living Desert,1953,1
The Longest Day,1962,2
Lost Horizon,1937,2
The Lost Weekend,1945,4
Love Is a Many-Splendored Thing,1955,3
Love Me or Leave Me,1955,1
Lust for Life,1956,1
Magoo's Puddle Jumper,1956,1
Main Street on the March!,1941,1
The Man Who Knew Too Much,1956,1
Manhattan Melodrama,1934,1
Marie-Louise,1945,1
Marty,1955,4
Mary Poppins,1964,5
Men Against the Arctic,1955,1
The Merry Widow,1934,1
A Midsummer Night's Dream,1935,2
Mighty Joe Young,1949,1
Mildred Pierce,1945,1
The Milky Way,1940,1
Min and Bill,1930/31,1
Miracle on 34th Street,1947,3
The Miracle Worker,1962,2
Mister Roberts,1955,1
Monsieur Vincent,1948,0 (1)
Moonbird,1959,1
The More the Merrier,1943,1
Morning Glory,1932/33,1
Moscow Strikes Back,1942,1
Mother Wore Tights,1947,1
Moulin Rouge,1952,2
Mouse Trouble,1944,1
Mr. Deeds Goes to Town,1936,1
Mr. Smith Goes to Washington,1939,1
Mrs. Miniver,1942,6
Munro,1960,1
The Music Box,1931/32,1
The Music Man,1962,1
Mutiny on the Bounty,1935,1
My Fair Lady,1964,8
My Uncle (Mon oncle),1958,1
My Gal Sal,1942,1
The Naked City,1948,2
National Velvet,1945,2
Nature's Half Acre,1951,1
Naughty Marietta,1935,1
Neighbours,1952,1
Neptune's Daughter,1949,1
Never on Sunday (Pote tin Kyriaki),1960,1
The Night of the Iguana,1964,1
Nights of Cabiria (Le Notti di Cabiria),1957,1
Nine from Little Rock,1964,1
None But the Lonely Heart,1944,1
North West Mounted Police,1940,1
"Now, Voyager",1942,1
An Occurrence at Owl Creek Bridge,1963,1
Of Pups and Puzzles,1941,1
Oklahoma!,1955,2
The Old Man and the Sea,1958,1
The Old Mill,1937,1
On the Town,1949,1
On the Waterfront,1954,8
One Hundred Men and a Girl,1937,1
One Night of Love,1934,2
One Way Passage,1932/33,1
Overture to The Merry Wives of Windsor,1953,1
The Paleface,1948,1
Panic in the Streets,1950,1
Papa's Delicate Condition,1963,1
The Patriot,1928/29,1
Penny Wisdom,1937,1
Phantom of the Opera,1943,2
The Philadelphia Story,1940,2
Picnic,1955,2
The Picture of Dorian Gray,1945,1
Pillow Talk,1959,1
The Pink Phink,1964,1
Pinocchio,1940,2
A Place in the Sun,1951,6
Plymouth Adventure,1952,1
Pollyanna,1960,0 (1)
Porgy and Bess,1959,1
Portrait of Jennie,1948,1
Prelude to War,1942,1
Pride and Prejudice,1940,1
The Pride of the Yankees,1942,1
Princess O'Rourke,1943,1
The Private Life of Henry VIII,1932/33,1
The Private Life of the Gannets,1937,1
Project Hope,1961,1
The Public Pays,1936,1
Pygmalion,1938,1
Quicker'n a Wink,1940,1
The Quiet Man,1952,2
Quiet Please!,1945,1
The Rains Came,1939,1
Rashomon,1951,0 (1)
The Razor's Edge,1946,1
Reap the Wild Wind,1942,1
Rebecca,1940,2
The Red Balloon (Le ballon rouge),1956,1
The Red Shoes,1948,2
The Robe,1953,2
Robert Frost: A Lover's Quarrel with the World,1963,1
Roman Holiday,1953,3
Room at the Top,1959,2
The Rose Tattoo,1955,3
Sabrina,1954,1
Samson and Delilah,1950,2
Samurai I: Musashi Miyamoto (Miyamoto Musashi),1955,0 (1)
San Francisco,1936,1
Sayonara,1957,4
The Scoundrel,1935,1
The Sea Around Us,1952,1
Seal Island,1948,1
The Search,1948,1 (1)
Seawards the Great Ships,1961,1
The Secret Land,1948,1
Seeds of Destiny,1946,1
Separate Tables,1958,2
Serengeti Shall Not Die (Serengeti darf nicht sterben),1959,1
Sergeant York,1941,2
Seven Brides for Seven Brothers,1954,1
Seven Days to Noon,1951,1
The Seventh Veil,1946,1
Shane,1953,1
Shanghai Express,1931/32,1
She Wore a Yellow Ribbon,1949,1
Shoeshine (Sciuscià),1947,0 (1)
The Silent World (Le Monde du silence),1956,1
The Sin of Madelon Claudet,1931/32,1
Since You Went Away,1944,1
Skippy,1930/31,1
Sky Above and Mud Beneath (Le Ciel et la boue),1961,1
The Snake Pit,1948,1
Snow White and the Seven Dwarfs,1937,0 (1)
So Much for So Little,1949,1
So This Is Harris!,1932/33,1
The Solid Gold Cadillac,1956,1
Some Like It Hot,1959,1
Somebody Up There Likes Me,1956,2
The Song of Bernadette,1943,4
Song of the South,1947,1 (1)
Song Without End,1960,1
Sons and Lovers,1960,1
Sons of Liberty,1939,1
South Pacific,1958,1
Spartacus,1960,4
Spawn of the North,1938,0 (1)
Speaking of Animals and Their Families,1942,1
Speedy Gonzales,1955,1
Spellbound,1945,1
Splendor in the Grass,1961,1
Stagecoach,1939,2
Stairway to Light,1945,1
Stalag 17,1953,1
Star in the Night,1945,1
A Star Is Born,1937,1 (1)
State Fair,1945,1
The Story of Louis Pasteur,1936,3
The Stratton Story,1949,1
Street Angel,1927/28,1
A Streetcar Named Desire,1951,4
Strike Up the Band,1940,1
The Substitute,1961,1
Sundays and Cybele (Le Dimanches de Ville d'Avray),1962,1
Sunrise,1927/28,3
Sunset Boulevard,1950,3
Survival City,1955,1
Suspicion,1941,1
Sweet Bird of Youth,1962,1
Sweethearts,1938,0 (1)
Swing Time,1936,1
Symphony of a City,1948,1
Tabu,1930/31,1
Target for Tonight,1941,0 (1)
"Teddy, the Rough Rider",1940,1
Tempest,1927/28,1
The Ten Commandments,1956,1
That Hamilton Woman,1941,1
That Mothers Might Live,1938,1
The Thief of Bagdad,1940,3
The Third Man,1950,1
Thirty Seconds Over Tokyo,1944,1
This Above All,1942,1
This Is the Army,1943,1
This Land Is Mine,1943,1
This Mechanical Age,1954,1
Three Coins in the Fountain,1954,2
The Three Faces of Eve,1957,1
Three Little Pigs,1932/33,1
Three Orphan Kittens,1935,1
Through a Glass Darkly (Såsom i en spegel),1961,1
Thunderball,1965,1
Thursday's Children,1954,1
The Time Machine,1960,1
A Time Out of War,1954,1
Tin Pan Alley,1940,1
The Titan: Story of Michelangelo,1950,1
Titanic,1953,1
To Catch a Thief,1955,1
To Each His Own,1946,1
To Kill a Mockingbird,1962,3
Tom Jones,1963,4
tom thumb,1958,1
"Toot, Whistle, Plunk and Boom",1953,1
Topkapi,1964,1
The Tortoise and the Hare,1934,1
Torture Money,1937,1
Toward Independence,1948,1
Transatlantic,1931/32,1
The Treasure of the Sierra Madre,1948,3
A Tree Grows in Brooklyn,1945,1
The True Glory,1945,1
The True Story of the Civil War,1956,1
Tweetie Pie,1947,1
Twelve O'Clock High,1949,2
Two Arabian Knights,1927/28,1
The Two Mouseketeers,1951,1
Two Women (La Ciociara),1961,1
The Ugly Duckling,1939,1
Underworld,1927/28,1
The V.I.P.s,1963,1
Vacation from Marriage (UK title Perfect Strangers),1946,1
Van Gogh,1949,1
The Vanishing Prairie,1954,1
The Virgin Spring (Jungfrukällan),1960,1
Viva Villa!,1934,1
Viva Zapata!,1952,1
Waikiki Wedding,1937,1
The Walls of Malapaga,1950,0 (1)
The War of the Worlds,1953,1
Watch on the Rhine,1943,1
Water Birds,1952,1
The Way of All Flesh,1927/28,1
West Side Story,1961,10
The Westerner,1940,1
The Wetback Hound,1957,1
What Ever Happened to Baby Jane?,1962,1
When Tomorrow Comes,1939,1
When Magoo Flew,1954,1
When Worlds Collide,1951,1
White Shadows in the South Seas,1928/29,1
White Wilderness,1958,1
Who's Who in Animal Land,1944,1
Why Korea?,1950,1
Wilson,1944,5
Wings,1927/28,2
Wings Over Everest,1935,1
With a Song in My Heart,1952,1
With Byrd at the South Pole,1929/30,1
With the Marines at Tarawa,1944,1
The Wizard of Oz,1939,2
Woman of the Year,1942,1
Wonder Man,1945,1
The Wonderful World of the Brothers Grimm,1962,1
World of Kids,1951,1
World Without Sun (Le Monde sans soleil),1964,1
Wrestling Swordfish,1931/32,1
Written on the Wind,1956,1
Wuthering Heights,1939,1
Yankee Doodle Dandy,1942,3
The Yankee Doodle Mouse,1943,1
The Yearling,1946,2
"Yesterday, Today and Tomorrow (Ieri, oggi, domani)",1964,1
You Can't Take It with You,1938,2
Zorba the Greek (Alexis Zorbas),1964,3
